Given Names,Last Name,Born,Died,Location
Samuel Wensley,Blackall,1809-05-01,1871-01-02,Mount Blackall
Ann,Hill,1850-04-25,1871-11-01,6-21-9
David John,Garland,1864-10-04,1939-10-11,1-5A-9
Arthur,Rutledge,1843-08-29,1917-02-08,13-49-15
Samuel Walker,Griffith,1845-06-21,1920-08-09,12-11-6/7
John,Donaldson,1841-06-15,1896-07-25,12-47-13
Thomas,Macdonald-Paterson,1844-05-09,1906-03-21,12-53-10
Emma,Miller,1839-06-dd,1917-mm-dd,13-6-5/6
Thomas,Glassey,1844-02-26,1936-09-28,11-22-1
William Henry,Browne,1846-09-13,1904-04-12,11-51-3
John Gordon,Smith,1863-mm-dd,1921-06-21,11-53-5/6
Anderson,Dawson,1863-07-16,1910-07-20,11-56-1
David,Bowman,1860-08-04,1916-02-25,11-76-12/13
William,Forgan Smith,1887-04-15,1953-09-25,8-25-20/21
William Neal,Gillies,1868-10-28,1928-02-09,18-106-20
Edward Michael,Hanlon,1887-10-01,1952-01-15,7A-38-19/21
John,Hoolan,1842-mm-dd,1911-06-15,7A-34-2
Albert Edward Victor,Whitford,1877-mm-dd,1924-01-29,15-6-40
Lilian Violet,Cooper,1861-08-11,1947-08-18,8-69-13/14
Walter,Hill,1819-12-21,1904-02-04,6-21-9
Peter,Jackson,1861-07-03,1901-07-13,5-28-1
Kevin Izod,O'Doherty,1823-mm-dd,1905-mm-dd,7-58-27
Elizabeth,Dale,1865-mm-dd,1905-01-31,1-148-29
William Walter,Brown,1911-11-02,2004-01-31,18-25-47B
Alfred Joseph,Duggan,1864-mm-dd,1884-11-20,7-52-5
Edward,McGregor,yyyy-mm-dd,1939-mm-dd,4-16-17/18
Sidney,Cook,yyyy-mm-dd,1937-03-23,4-35-14
Samuel,Keenan,yyyy-mm-dd,yyyy-mm-dd,2-48-7
Henry William,Mobsby,1860-08-17,1933-04-09,5-61-11
Karoly (Charles),Pulszky,1854-11-10,1899-06-05,5-2-3
Thomas,Macer (Megan),yyyy-mm-dd,1926-mm-dd,21-14-3
Arthur,Aldridge,1873-mm-dd,1929-11-03,23-31-14
Kyrle Edward,McAllister (Sylvaney),yyyy-mm-dd,yyyy-mm-dd,23-31-15
George Barney,Petrie,1839-mm-dd,1878-06-21,13-5-3
Alex,Gow,1861-10-19,1919-05-02,13-59-3/4
John,Hislop,yyyy-mm-dd,1918-07-15,11-68-9
Alma,Adlington,1856-mm-dd,1891-05-04,7-114-5
George,Sillett,1866-mm-dd,1908-09-07,5-65-9
Walter,Barrett,1833-mm-dd,1907-12-11,1-31-7/8
Kate Mary,Smith,1847-mm-dd,1932-06-dd,1-7-14
Alfred,Cannon,yyyy-mm-dd,1915-09-11,4-1-21/22
Joseph,Cripps,1849-mm-dd,1918-01-15,4-28-6
Le Fevre James,Cranstone,1822-mm-dd,1893-06-22,2A-15-22
Isaac Walter,Jenner,1837-03-18,1902-03-01,5-43-16
Richard Godfrey,Rivers,1859-mm-dd,1925-04-02,12-24-4
Eliza Jeanettie,Sheldon,1885-05-24,1974-mm-dd,7-95-13/14
Edwin Arthur Vincent,Sheldon,1895-mm-dd,1945-mm-dd,7-95-13/14
Frank,Goodwin,1885-06-21,1919-mm-dd,10-43-26
Arthur Leslie,Middleton,1894-05-11,1919-mm-dd,10-43-12
John,Crilly,1871-11-30,1919-05-25,10-41-20
Joseph,Leyton,1875-mm-dd,1919-06-dd,10-41-18
Arthur,Bann,1890-05-09,1919-05-dd,10-40-18
Frank Morgan,Jones,1872-mm-dd,1919-05-dd,10-40-17
Michael,Dalton,1894-10-22,1919-08-dd,10-39-24
Frederick Nicholas,Naughton,1883-mm-dd,1919-09-dd,10-39-12
Frank Venton,Rutherberg,1888-09-19,yyyy-mm-dd,10-39-11
David Gordon,Rattray,1893-05-22,1919-02-dd,10-39-16
Thomas,Morell,yyyy-mm-dd,yyyy-mm-dd,10-39-15
Richard,Whitby,1881-mm-dd,1919-07-dd,10-39-14
William James,Sluce,1832-03-25,1879-02-01,2-6-21
John,Ogle,1824-mm-dd,1890-19-26,1-113-3/4
Mary Ann,Ogle,1823-mm-dd,1907-08-24,1-113-3/4
George,Loesch,1829-05-12,1887-10-21,7-49-12
Frederick,Loesch,1882-10-10,1929-02-03,7-49-12
Iris Elizabeth,Carson,1916-09-24,1918-03-25,15-31-9
James Porter,Fry,1880-03-10,1948-02-07,8-31-31/32
Constance,Campbell,1872-12-16,1926-07-04,8-19-16
William John,Harrhy,1893-mm-dd,1924-04-18,4-16-4
Jessie Blanche,Prentice,yyyy-mm-dd,1890-02-28,9-41-1
Jessie Lacy,Prentice,yyyy-mm-dd,yyyy-mm-dd,9-41-1
George,Prentice,yyyy-mm-dd,1890-02-28,9-41-1
Henry Lander,Pethebridge,1835-mm-dd,1910-06-13,13-4-7
George,Davidson,1841-04-13,1888-02-29,13-7-1
William,Smith,1822-mm-dd,1872-12-16,13-6-21
Charles Stewart,Thow,1840-mm-dd,1883-06-02,13-16-10
David,Muir,1824-mm-dd,yyyy-mm-dd,13-16-12
Tom George,Johnson,yyyy-mm-dd,1912-10-02,14-18-4
William,Collin,1834-08-30,1914-01-dd,12-56-22
Archibald Edward,Bartsch,1922-mm-dd,1942-03-04,10-44-20
Henry,Theeman,1895-mm-dd,1942-03-04,10-41-21
Eric Ross,Harrison,1909-mm-dd,1942-03-04,10-43-7
John,Burke,1842-mm-dd,1919-06-03,7-19-1
John,Petrie,1822-01-15,1892-12-08,13-5-3
George,Edmondstone,1809-05-04,1883-02-23,13-20-5
Thomas,Proe,yyyy-mm-dd,1922-12-17,13-35-9
John Daniel,Heal,1825-01-18,1908-08-18,13-40-9
John,Sinclair,1827-12-08,1906-05-05,9-40-5
Alfred John,Raymond,yyyy-mm-dd,yyyy-mm-dd,9-32-8
James,Swan,1811-mm-dd,1891-05-26,9-39-8
Richard Symes,Warry,1829-mm-dd,1891-03-12,13-49-22
Richard,Southall,yyyy-mm-dd,yyyy-mm-dd,13-59-12
John,Hardgrave,1826-mm-dd,1906-11-08,14-22-2/3
Joshua,Jeays,1881-03-11,yyyy-mm-dd,13-62-13
William,Pettigrew,1825-08-26,1906-10-28,13-66-2
Archibald,Watson,yyyy-mm-dd,1941-02-25,12-13-2
William MacNaughton,Galloway,yyyy-mm-dd,1895-01-12,7A-41-18
John,Melville,1834-09-10,1912-03-08,9-10-14
Alexander,Raff,1820-07-dd,1914-01-26,13-79-1
James,Cowlishaw,1834-12-19,1929-07-25,11-41-7A
Nathaniel,Lade,1835-03-30,1895-07-17,13-52-20/21
John,Caskey,yyyy-mm-dd,1901-09-27,4-ss-gg
John Wyndon,Lyon,yyyy-mm-dd,1934-04-21,10-65-30
John Jennings,Imrie,1813-06-01,1901-03-23,1-85-9
John,Higson,yyyy-mm-dd,yyyy-mm-dd,2A-31-16
Robert,Orton,1860-mm-dd,1929-08-dd,5-66-4
George,Vowles,1846-mm-dd,1928-11-28,2-49-35
Joseph Robert,Abbott,1899-05-30,1941-12-25,10-80-45
George,Hansford,1840-12-25,1925-10-13,10-17-30/31
Victor Cyril,Button,1924-01-01,1942-12-25,10-53-14
Joseph,Cossart,1843-11-14,1911-12-25,13-18-16
Edward Arthur,Gordon,1893-mm-dd,1913-01-26,6-7-18
Joseph,McNamara,1916-05-23,1941-12-25,10-71-26A
Albert Williams,Gyler,1892-mm-dd,yyyy-mm-dd,2-41-65
James,Sanford,1888-09-09,yyyy-mm-dd,2A-24-1/2
Henry Townsend,Wilkins,1895-mm-dd,1917-07-31,2A-22-11
Jack,Bannister,1895-mm-dd,1964-10-06,2A-25A-18/19
Joseph George,Barnes,1887-mm-dd,1915-05-02,2-43-14
Louis Walter,Barnes,yyyy-mm-dd,1916-08-03,2-43-14
John James,Bennett,1897-mm-dd,1919-02-08,2-43-13
Norman Lister,Freeman,1891-mm-dd,1916-07-24,2-43-24/25
James Archibald Henry,Bennett,1892-10-18,1918-11-29,2-24-29/30
Roy Nestor Sinclair,Brown,1890-mm-dd,1917-10-21,2A-22-11
George Lewis,Brown,yyyy-mm-dd,1920-07-12,2-44-26/27/28
Francis Leofric,Armstrong,1880-10-25,1915-05-10,2-45-16/17
Algernon Cedric,Francis,1896-mm-dd,1916-11-18,2-37-31/32
William Rich,Saile,1893-mm-dd,yyyy-mm-dd,2A-22-11
Norman Kinamond,Harvey,yyyy-mm-dd,yyyy-mm-dd,2-47-38
John Thomas,Moores,1891-mm-dd,1969-06-27,2-47-16
William Robert,Colledge,1842-mm-dd,1928-08-26,4-15-9/10
George Edwards,Rowe,1858-08-26,1926-10-27,10-48-4
Mary Elizabeth (Sister Lily),Briscoe,1868-mm-dd,1935-06-26,10-31-25
Percy Lionel,Benjamin,yyyy-mm-dd,1903-03-03,3-12-7/8
David Thomas,Newitt,1890-06-30,1922-09-02,10-26-4/5
Joseph Letcher,Phillips,1849-mm-dd,1910-05-05,10-8-12
William Henry,Sowray,1851-02-22,1912-12-01,1-50A-1
Stephen Alonzo,Spragg,1879-10-02,1904-02-12,5-15-26
Walter Thorpe,Olding,1888-09-25,1912-04-30,5-42-7
Edward Vincent,Pollock,1851-06-12,1911-10-16,5-62-12
Maurice Charles,O'Connell,1812-01-13,1879-03-23,13-83-4
Joshua Peter,Bell,1827-01-19,1881-12-20,13-84-8
Anthony,Musgrave,1828-11-17,1888-10-09,14-23-7
Arthur Hunter,Palmer,1819-12-28,1898-03-20,13-88-7
Pope Alexander,Cooper,1846-05-12,1923-08-30,13-37-1
Edmund,Mellor,yyyy-mm-dd,1872-09-26,9-38-4
George,Hiron,1840-mm-dd,1915-06-02,13-20-9
Joseph William,Sutton,yyyy-mm-dd,1914-02-21,13-7-13/14
George,Fish,yyyy-mm-dd,1925-09-23,12-1-11
Benjamin Harris,Babbidge,1836-10-02,1905-02-19,1-44-9
Henry Lewis,Neighbour,1857-mm-dd,1942-08-04,2-44-19
Andrew,Fullerton,1831-mm-dd,1899-04-10,2A-11-19
James,Trackson,1857-mm-dd,1941-11-06,7-101-1/2
Justin Fox Greenlaw,Foxton,1849-09-24,1916-06-23,1-114-7/8
Elizabeth,Edwards,1840-05-11,1914-11-07,14-23-14
Robert,Philp,1851-12-28,1922-06-17,14-23-10
Horace,Tozer,1844-04-23,1916-08-20,12-11-8
Charles,Lilley,1827-08-27,1897-08-20,12-15-15
Boyd Dunlop,Morehead,1843-08-24,1905-10-30,12-49-6
David Hay,Dalrymple,1840-12-14,1912-09-01,12-53-2
Arthur,Morgan,1856-09-19,1916-12-20,12-15-12
Andrew Lang,Petrie,1854-mm-dd,1928-04-01,13-10-7
George Harpur,Jones,yyyy-mm-dd,yyyy-mm-dd,13-15-7
William John,Munce,yyyy-mm-dd,1892-mm-dd,9-43-11
Charles,Patterson,yyyy-mm-dd,1926-01-04,13-30-10
Robert,Cribb,1805-mm-dd,1893-04-16,9-37-6
Henry Howard,Payne,1821-mm-dd,1903-02-18,9-11-15/16
Henry,Sleath,1828-mm-dd,1918-05-21,13-43-18
James,Valentine,1853-mm-dd,1904-01-17,13-59-16/17
Francis Drummond Grenville,Stanley,1839-01-01,1897-05-28,9-32-6
John,Fewings,1830-mm-dd,1910-05-20,9-30-22/23
Thomas,Finney,1837-01-10,1903-12-16,13-81-6
William,Richer,yyyy-mm-dd,1924-11-28,11-7-28
Charles,Siemon,1871-03-31,1941-07-03,12-21-5
Jessie,Philp,1856-mm-dd,1890-11-21,14-23-10
Augustus Charles,Gregory,1819-08-01,1905-06-25,14-22-14
Alfred,Roberts,1837-mm-dd,1920-05-10,13-1-2
Edmund,Curd,yyyy-mm-dd,1922-12-dd,4-37-14
Victor,McGregor-Lowndes,1884-mm-dd,1951-07-21,4-16-20/21
Jean,McGregor-Lowndes,yyyy-mm-dd,1976-06-dd,4-16-gg
William,Busby,yyyy-mm-dd,1928-mm-dd,4-3-22
Bezalel Saul (Sali),Mendelsohn,yyyy-mm-dd,1897-mm-dd,3-6-7
Harriet,Johnson,yyyy-mm-dd,1914-mm-dd,1-36-2
William,Johnson,yyyy-mm-dd,yyyy-mm-dd,1-36-2
William,Webster,1829-mm-dd,1895-mm-dd,1-37-6
Walter Horatio,Wilson,1840-mm-dd,1902-02-dd,1-84-22
Walter Frederick,Wilson,1863-mm-dd,1911-mm-dd,1-85-8
Richard Langler,Drew,1823-10-09,1869-10-08,5-43-22
Hercules,Smith,yyyy-mm-dd,yyyy-mm-dd,5-40-9
Maria,Johnstone,yyyy-mm-dd,1923-09-dd,5-36-15/16
Letitia,Jephson,yyyy-mm-dd,1908-mm-dd,5-34-17
Samuel,Kaye,yyyy-mm-dd,yyyy-mm-dd,2-42-26
Robert Harrison,Smith,yyyy-mm-dd,1911-mm-dd,5-31-10
Mary,Douglas,1828-mm-dd,1876-11-dd,9-34-5
Florence Griffiths,Buchanan,1861-09-16,1911-12-30,11-33-4
Elizabeth Jane,Kingsbury,1858-mm-dd,1919-03-08,12-42-12/13
Elizabeth,Moffat,1858-03-03,1920-12-03,13-21-15
Honorah Mary Teresa,Ross,1858-12-06,1926-13-14,15-9-42
Ottilia,Ufer,1861-02-23,1935-01-13,7-103-32
Sarah,Woulfe,1863-mm-dd,1931-12-18,7A-74-15/16
Elizabeth,Phillips,yyyy-mm-dd,1931-02-25,18-103-23/24
Marie Theresa,Lightolier,1855-09-13,1924-09-09,11-77-1
Helen Dugald,Street,1858-mm-dd,1907-10-07,12-39-24
Eliza,Finney,1805-mm-dd,1898-07-22,13-81-6/13
Annie Watson,Turner,1868-10-16,1939-10-23,13-70-7/8
Charles Chesworth,Burgess,1883-05-09,1939-04-11,10-76-15
John Henry,Griffin,yyyy-mm-dd,1893-07-01,2A-23-5
Molyneux Henry Dickinson,Nepean,1846-04-19,1889-09-30,1-158-5
Reginald Hebe,Roe,1850-08-03,1926-09-21,20-25-5A
John,Shirley,1849-08-11,1922-04-05,20-25-6
Albert Charles,Cox,1892-12-08,1925-01-29,20-23-1/2
Samuel James,Reilly,1839-mm-dd,1919-10-21,20-46-18
Albert,Ensor,1872-12-05,1950-05-05,20-48-5/6
Robert,Toupein,1886-mm-dd,1949-07-12,5-96-24
Peter,Morgan,1916-mm-dd,1953-02-23,1-88-4
Amos Roy,Goddard,1910-mm-dd,1933-08-10,7-77-26
William Cowley Goulbourne,Stone,1870-mm-dd,1892-12-16,7-77-11
Frank,Thorne,1883-mm-dd,1931-11-16,21-20-16
John (Jack),Dowridge,1848-mm-dd,1922-mm-dd,5-28-14
Brickwood (Brickie),Colley,1849-mm-dd,1896-mm-dd,2-51-2
William,Paul,1839-06-02,1909-12-10,5-32-8
Patrick,Real,1846-03-17,1928-06-10,7A-153-7
William Henry Abbot,Hirst,1837-02-21,1878-05-26,1-10-17
Ratcliffe,Pring,1825-10-17,1885-03-25,13-75-9
Charles Stuart,Mein,1841-06-14,1890-06-30,12-11-13
John Laskey,Woolcock,1861-11-07,1929-01-18,11-65-2
Charles,Stumm,1865-05-10,1929-02-28,18-111-2
Samuel Gill,Mee,1819-mm-dd,1909-11-09,4-12-30
Thomas,Wontner,yyyy-mm-dd,1894-08-11,13-26-21
Carl Adolf,Feilberg,1844-08-21,1887-10-25,13-71-15
Walter John,Morley,1852-mm-dd,1937-12-24,12-13-13/14
David Frederick Tudor,Jones,1830-08-13,1892-10-06,12-16-26
George,Woolnough,1834-08-17,1929-06-19,11-16-16
George,Cowlishaw,1841-04-21,1913-01-06,11-14-7
John James,Knight,1863-06-07,1927-11-24,8-33-32
James George,Drake,1850-04-26,1941-08-01,18-136-3
Richard Sanderson,Taylor,1866-mm-dd,1932-06-06,8-49-19
Robert,Dunn,1850-mm-dd,1926-08-02,8-67-5/6
Martha (Pattie),Soutter,yyyy-mm-dd,1936-09-28,18-167-18
Edmund James Thomas,Barton,1854-mm-dd,1937-04-10,11-24-16
William Francis,Faine,yyyy-mm-dd,1899-08-28,13-12-1
William James,Muldoon,yyyy-mm-dd,1924-09-23,2-26-25
Sidney Spencer,Broomfield,1847-mm-dd,1933-10-24,18-20-11
Frederick,Achilles,yyyy-mm-dd,1900-06-13,18-62-1
Thomas James,Mattingley,yyyy-mm-dd,1924-05-22,18-173-45
John Wilson,Weir,yyyy-mm-dd,1947-12-16,8-34-30
John Edward,Maidens,1874-02-30,1924-12-07,18-79-13
William Henley,Rawlings,1848-02-28,1906-07-05,11-51-1
Hugh,Mosman,1843-02-11,1909-11-15,13-88-3
William Chalmers,Brown,1841-mm-dd,1909-04-15,9-31-7
Christopher,Francis,1840-mm-dd,1915-11-10,2-37-31/32
Henry Bloomfield,Gough,1845-mm-dd,1896-mm-dd,2-44-21
Octavius,Armstrong,1833-mm-dd,1917-01-23,2-45-16/17
Robert Arthur,Johnstone,1843-mm-dd,1905-01-16,5-36-15/16
Ernest,Eglinton,1848-mm-dd,1921-10-01,2A-31-22
William,Maguire,1861-mm-dd,1917-04-25,5-105-14
Thomas,Hinch,1855-mm-dd,1924-05-22,20-18-23
William Harold,Ryan,1873-mm-dd,1954-07-16,7A-116-44
Henry Marjoribanks,Chester,1832-mm-dd,1914-10-03,7-59-11
Patrick,Clancy,1837-mm-dd,1899-01-12,7-53-20
Matthew,Collopy,1844-mm-dd,1880-mm-dd,7-5-3
Joseph,Kelly,1858-mm-dd,1878-04-02,7-9-24
Thomas,Slattery,1824-mm-dd,1878-02-05,7-9-4
William McCallum,Park,1836-mm-dd,1934-09-06,13-19-15/16
William,Macfarlane,1832-05-30,1886-06-10,14-7-20/21
